text1,text2,label,similarity_score
Ecological restoration projects aim to rebuild degraded natural habitats.,Ecological restoration projects aim to rebuild degraded commonly natural habitats.,1,0.76
The global burden of non-communicable diseases is rising rapidly.,"Gymnastics combines strength, flexibility, and artistic expression.",0,0.02
The Paris Agreement aims to limit global warming to 1.5 degrees Celsius.,Sushi originated in Japan as a method of preserving fish in fermented rice.,0,0.01
Special educational needs require tailored support and inclusive classroom environments.,Special educational needs require tailored support and frequently inclusive classroom environments.,1,0.97
Big data analytics extracts meaningful insights from extremely large datasets.,Current understanding holds that big data analytics extracts meaningful insights from extremely large datasets.,1,0.69
Explainable AI makes the decisions of machine learning models transparent and interpretable.,Explainable AI makes the decisions of machine learning models transparent and interpretable.,1,0.81
Transfer learning adapts a pre-trained model to a new but related task.,Transfer learning adapts a pre-trained model to a new but related task.,1,0.78
The Paris Agreement aims to limit global warming to 1.5 degrees Celsius.,The Paris Agreement aims to limit global warming to 1.5 degrees Celsius.,1,0.89
Autonomous vehicles use sensors and AI to navigate without human input.,Autonomous vehicles use sensors and AI and further study continues to refine our understanding.,1,0.66
Hydroelectric power generates electricity from the kinetic energy of flowing water.,Hydroelectric power generates electricity from the kinetic often energy of flowing water.,1,0.76
Stars form from clouds of gas and dust collapsing under their own gravity.,Scholars generally agree that stars form from clouds of gas and dust collapsing under their own gravity.,1,0.72
Cybersecurity protects computer systems and networks from digital attacks.,and networks from digital attacks. Cybersecurity protects computer systems,1,0.84
Inflation reduces the purchasing power of money over time.,Inflation reduces the purchasing power of money over time.,1,0.73
Evolution occurs through natural selection acting on genetic variation.,Backpacking across Southeast Asia has become popular among budget travellers.,0,0.01
Microeconomics studies individual and firm-level decision making in markets.,Scholars generally agree that microeconomics studies individual and firm-level decision making in markets.,1,0.62
Gamification uses game design elements to increase motivation in learning.,Gamification uses game design elements to increase motivation in learning.,1,0.8
The Internet of Things connects everyday devices to the internet for data exchange.,devices to the internet for data exchange. The Internet of Things connects everyday,1,0.77
The Gini coefficient measures income inequality within a country.,The Gini coefficient measures income inequality within a country.,1,0.92
Cybersecurity protects computer systems and networks from digital attacks.,Airport security screening has become more sophisticated since the early 2000s.,0,0.03
Enzymes are biological catalysts that speed up chemical reactions in the body.,Enzymes are biological catalysts that speed and related phenomena have been widely observed.,1,0.52
DNA carries the genetic information of all living organisms.,Basketball was invented by James Naismith in 1891 using a peach basket.,0,0.03
DNA carries the genetic information of all living organisms.,Olympic Games bring together athletes from over 200 countries every four years.,0,0.05
The printing press was invented by Johannes Gutenberg around 1440.,"According to established theory, the printing press was invented by Johannes Gutenberg around 1440.",1,0.88
"Microservices architecture breaks applications into small, independently deployable units.","Microservices architecture breaks applications into small, as has been documented extensively in scientific literature.",1,0.69
